text,page_number
"In this context, 2016 saw the kick-off of 
the most holistic sustainability strat-
egy of adidas to date because it looks at 
the entire life cycle of sport. This makes 
our sustainability strategy so powerful 
and successful. Research we conducted 
shows that consumers, the creator gen-
eration, see sport as an essential part of 
their life, and they would dislike a world 
without spaces allowing them to prac-
tise sports. Sport needs a space to exist. 
However, these spaces are increasingly 
endangered due to various threats to our 
world such as increased industrial pol-
lution and its effect on the environment 
and our planets climate, the violation 
of human rights such as forced labour 
practices or discrimination, the conse-
quences of increasing urbanisation as 
well as the ever-growing population, to 
name a few examples. 
",5
"Based on our passion for sport, we want 
to be the guardians of these spaces of 
sport, and we aim to protect these spaces 
that have a direct link to our business: 
we want to protect spaces where sport 
is made, sold and played. Within this life 
cycle of sport, we focus on two dimen-
sions, people and product, for each of 
which we have set three strategic prior-
ities and ambitious, tangible and meas-
urable goals that guide our sustainability 
work towards 2020. You will find more 
details on these priorities, and the pro-
gress we made towards these goals in 
2016, as you read this report.
",5
"We are proud that we are 
seen as being honestly com-
mitted to sustainability and 
as a leader in our industry. 
This is reflected in our con-
tinued inclusion in some of 
the most important global 
sustainability indices. One 
example is our membership 
in the Dow Jones Sustain-
ability Indices, where we have 
been listed for 17 consecu-
tive years. In 2016, as one of 
the top-scoring companies in 
our industry, adidas received 
the RobecoSAM Gold Class 
and Industry Mover distinc-
tion for excellent sustainabil-
ity performance. 
",5
"Our focus on sustainability is not only recognised by investors, 
experts and consumers. It also excites our 60,000 employees 
and is a major reason why young people from all over the world 
would like to work for us. They want to be part of a company 
that has a clear mission. Our mission is to be the best sports 
company in the world. Best means that we design, build and 
sell the best sports and fitness products in the world, with the 
best service and experience, and in a sustainable way. Best 
is what our consumers, athletes, teams, partners, media and 
ultimately also you will say about us.
",5
"With this in mind, I hope you enjoy reading this report.
",5
"WE ARE PROUD 
THAT WE ARE SEEN  
 
AS BEING 
HONESTLY  
COMMITTED TO 
SUSTAINABILITY 
 
AND AS A 
LEADER IN OUR 
INDUSTRY.
",5
"WE VALUE WATER
Water is essential for life. It 
is also a key resource for our 
industry. In order to tackle the ever-grow-
ing issue of water scarcity and achieve 
water stewardship1, we have developed 
an approach addressing water efficiency, 
quality and accessibility.
",6
"This is an overview of all targets we have set ourselves to be achieved by 2020. 
We measure our progress towards these targets annually. Please find a detailed 
evaluation of these targets at the end of each of our six priorities chapters.
",6
"WE INNOVATE  
MATERIALS & 
PROCESSES
We create the best for the athlete, while 
optimising our environmental impact. 
We are committed to steadily increasing 
the use of more sustainable materials in 
our production, products and stores. At 
the same time, we are driving towards 
closed-loop solutions. 
",6
"WE CONSERVE 
ENERGY
Energy is the fuel of the 
body. The responsible use of energy is 
also critical for our planet to survive. 
In order to mitigate climate change, we 
are committed to reducing our absolute 
energy consumption and CO emissions, 
transitioning to clean energy and look-
ing into energy harvesting opportunities. 
BY 2020, WE WILL ACHIEVE
  20% water savings at our strategic 
suppliers2
",6
"  50% water savings at our apparel 
material suppliers3
",6
"  35% water savings per employee at 
our own sites4
",6
"Additionally, we will:
  Further expand the use of water-
less technologies for our products.
",6
"  Continue to develop programmes 
focused on providing access to 
clean water in the communities we 
operate in.
",6
"BY 2020, WE WILL ACHIEVE
  20% energy savings at our strategic 
suppliers9
",6
"  3% absolute annual reduction in 
Scope 1 and Scope 2 CO emissions 
at our own sites10
",6
"  further expansion of the Integrated 
Management System (IMS) to key 
sites globally at owned operations
",6
"  LEED certification for major new 
corporate construction projects, 
such as the new offices at the com-
panys headquarters in Germany 
and new flagship stores. 
Additionally, we will:
  Reduce the environmental footprint 
of our consumer events.
",6
"BY 2020, WE WILL ACHIEVE
  20% waste reduction at our strate-
gic suppliers5
",6
"  50% waste diversion for owned 
operations to minimise landfill6 
",6
"  75% paper reduction per employee 
at our own sites7
",6
"Additionally, we are working on:
  Replacing conventional cotton, with 
the aim of achieving 100% sustain-
able cotton by 2018.
",6
"  Phasing out the use of virgin plas-
tic, starting with:
",6
" 
  Increasing the use of recycled 
polyester in our products.
",6
" 
  Creating a completely new sup-
ply chain for Parley Ocean Plas-
tic together with our partner 
Parley for the Oceans. 
",6
"  Increasing the use of sustain-
able designs and materials in our 
stores.
",6
"  Rolling out a global product take-
back programme to all of our key 
cities and markets. 
",6
"  Investing in materials, processes 
and innovative machinery which 
will allow us to upcycle materials 
into products and reduce waste. 
Ongoing examples include Sport 
Infinity and Futurecraft Tailored 
Fibre. 
",6
"  Achieving 100% sustainable input 
chemistry by adopting the ZDHC 
MRSL; phasing out hazardous 
chemicals; providing our strate-
gic suppliers with a list of positive 
chemistry (the bluesign bluefinder).
",6
"WE EMPOWER 
PEOPLE
People are at the heart 
of everything we do. Like a coach ensures 
that all of the players on the pitch are in 
the right position for the best results, we 
empower people to exercise their rights 
and unlock their potential.
2 
",7
"WE IMPROVE 
HEALTH
Sport is the key to an 
individuals health and happiness. Our 
aim is to enable people around the world 
to participate in sports, while educating 
them on physical and mental health, fit-
ness and nutrition. This will ultimately 
allow them to lead a healthier and more 
fulfilled lifestyle. 
",7
"WE INSPIRE 
ACTION
We work hard every day to 
inspire and enable people to harness the 
power of sport in their lives. Likewise, we 
want to keep driving change in our indus-
try by leading by example. 
",7
"BY 2020, WE WILL
  Empower11 our supply chain work-
ers by expanding and refining 
grievance systems and skill train-
ing programmes.
",7
" 
  This includes the expansion 
of the Workers Hotline to the 
countries where our strategic 
suppliers are located. 
",7
"  We will continue to support our 
suppliers and licensees in fur-
ther improving their social and 
environmental compliance per-
formance as measured by our  
C- and E-KPI rating tools as well 
as scorecards. 
",7
"  Foster cross-functional and cross- 
cultural careers and experiences 
for our employees. This will en- 
able them to gain fresh perspec-
tives and grow professionally and 
personally. 
",7
"  Champion diversity  regardless of 
gender, nationality, ethnic origin, 
religion, world view, age, sexual 
orientation or gender identity. 
",7
"BY 2020, WE WILL
  Introduce education and upskilling 
measures on health and work-life 
balance topics for our employees.
",7
"  Develop a global Health Manage-
ment strategy for our employees. 
This strategy is based on the strong 
foundation we already have at our 
offices in Herzogenaurach, Port-
land and Canton. 
",7
"  Utilise sport as a tool to teach val-
ues and boost young peoples aca-
demic and physical performance. 
In addition, this tool will add to their 
overall confidence and well-being. 
",7
" 
  We aim to increase the number 
of enrolled BOKS schools by 50% 
in our target areas.
",7
"  Nurture football talent by promot-
ing grassroots football in China: by 
the end of 2018, we aim to reach 
22 million students as a result of 
our joint efforts with Chinas Min-
istry of Education (MoE).
",7
"WE WILL CONTINUE TO FOCUS ON
  Rewarding our employees com-
mitment and contributions to our 
companys purpose, strategy and 
success. 
",7
"  Encouraging and supporting 
employee volunteering  creating 
agents of change in the communi-
ties we work, live and operate in. 
",7
"  Engaging with creators and influ-
encers and driving innovative 
collaborations. 
",7
"  Inspiring consumers, key partners, 
brand assets and others to join us 
on our journey.
",7
"  Teaming up with our athletes who 
will act as role models for young 
creators, sharing experiences and 
showing that sport is about pas-
sion, determination, teamwork, 
helping others and being active. 
",7
"1 Water stewardship means knowing and reducing our own water use and improving our impact on water at our own operations and along the value chain through innovative solu-
tions and partnerships. | 2 Strategic suppliers are responsible for around 80% of our global production volumes. 2014 baseline | 3 Apparel material suppliers are specialists 
in printing and dyeing operations. 2015 baseline | 4 2008 baseline | 5 2014 baseline | 6 Owned operations include offices, distribution centres, retail. 2015 baseline | 7 2008 
baseline | 8 Manufacturing Restricted Substance List, as per the Zero Discharge of Hazardous Chemicals Programme (ZDHP)  | 9 2014 baseline | 10  Scope 1: emissions that 
arise directly from sources that are owned or controlled by  adidas entities, such as fuels used in our boilers; Scope 2: emissions generated by purchased electricity consumed 
by  adidas entities. 2015 baseline | 11 This means ensuring our suppliers workforces at all levels are empowered with access to effective grievance and feedback channels, 
supervisory skills and other means to support fair, healthy and safe workplace conditions.
",7
"WE TAKE 
RESPONSIBILITY
FOR THE ENTIRE
 
LIFE CYCLE OF
SPORT: 
",8
"We believe that through sport, we have the power to change 
lives. It is what drives us and stands behind everything we do. 
It is also the core of our Sustainability Strategy Sport needs 
a space, which was introduced in 2016. Building on existing 
programmes and tackling the subjects most material to our 
business and stakeholders, its name says it all: for sport to be 
able to change lives, it needs a space to exist such as a field 
to play on or a mountain to climb. The reality is, however, that 
due to man-made issues, including pollution through waste and 
increasing carbon emissions as well as human rights violations, 
these spaces are increasingly endangered. This is where Sport 
needs a space comes in. It is our way to take on the challenges 
that pose a threat to the spaces of sport and, at the same time, 
our planet and people. 
",9
"We have identified six priorities to address 
the issues and challenges of the places 
where sport is made, where sport is sold, 
and where sport is played. In short: along 
our entire value chain. Cross-cutting and 
relevant for all spaces, these priorities 
have been translated into tangible and 
measurable goals we aim to achieve 
by 2020, specifically focusing on two 
dimensions: product (including materials, 
technologies or the manufacturing 
process) and people (our own employees 
as much as our factory workers, fans, 
athletes, and consumers). 
 page 0608
",9
"Covering our entire business model from 
end to end, Sport needs a space requires 
a holistic management approach. For 
this reason we have created an internal 
cross-functional governance structure, 
a tripartite organisation ranging from 
project owners to our strategic working 
group to a sponsor board. The structures 
ultimate ambition is manifold: on the one 
hand, it empowers bottom-up creativity 
and expertise as well as cross-functional 
 alignment and transparent decision-making. At 
the same time, it allows a very robust tracking of 
progress with clearly defined accountabilities. 
Most importantly, it also ensures that priorities 
stay relevant in the long run as well as flexible enough so they 
can be adjusted to changing internal and external developments 
if need be. 
",9
"The operational part of the structure is made up of the respec-
tive project owners on the ground who drive implementation 
and provide the necessary valuable feedback on the develop-
ment and execution of their projects to the strategic working 
group. Made up of nominated project leads and sustainability 
experts representing individual functions, this group not only 
monitors the progress of Sport needs a space, they also iden-
tify and react to trends and stakeholder expectations in order 
to fine-tune and advance the cross-functional programme in 
monthly meetings. They further 
define and align KPIs and targets for 
Sport needs a space, ensure effi-
cient decision-making, and in turn 
report their findings to the sponsor 
board consisting of senior represent-
atives of our company  from Social & 
Environmental Affairs (SEA), Global 
Operations, Global Brands, Human 
Resources, Global Workplaces, Retail 
Concept, Sales, Finance, and Com-
munication. Acting as advocates, they 
promote the strategy to the Execu-
tive Board and top management to 
ensure its activation and endorse-
ment throughout the company. They 
also oversee the progress made 
towards our 2020 goals as one team 
and provide strategic framework and 
priorities for possible adjustments, 
further developments, and commu-
nication of Sport needs a space. 
",9
"While the foundation for a success-
ful structure has been laid in 2016, 
we will continue to fine-tune the pro-
gramme based on learnings in 2017 
and beyond.
",9
"FRANK HENKE
VP GLOBAL SOCIAL & ENVIRONMENTAL 
AFFAIRS AT  ADIDAS
",9
"We are a globally operating com-
pany with a lot of resources and 
knowledge based on a long his-
tory of sustainable engagement 
that we are very proud of. As an 
important part of this, we recog-
nise our responsibility to respect 
human rights and the importance 
of showing that we are taking the 
necessary steps to fulfil this social 
obligation as a business. We do this 
by striving to operate responsibly along the entire value 
chain, safeguarding the rights of our own employees 
and those of our suppliers through our Workplace 
Standards, and applying our influence to affect change 
wherever human rights issues are linked to our busi-
ness activities. But we are well aware that we can have 
a bigger impact when working with partners. 
",10
"Since its inception in 1997, our human and labour 
rights programme has been built on the back of 
intense stakeholder outreach and engagement: seek-
ing to understand and define the most salient issues 
to address as a company, to learn from them and 
use that knowledge to support our overall mission 
to change lives through sport. This has become visi-
ble once more through our human rights activities in 
2016 that were based on the heightened outreach to 
and engagement with our stakeholder groups as well 
as the development and publication of new industry 
benchmarks.
",10
"In October 2016, in line with our long standing com-
mitment to addressing the human rights challenges 
 related to sports, as laid out in our Sports 
needs a space strategy, we actively con-
tributed to a series of white papers which 
were presented at a multi-stakeholder 
Sporting Chance Forum in Washington DC. 
The two-day event promoted the learning 
and capacity building of the parties involved 
in major sporting events. It also explored 
ways to develop more comprehensive, 
consistent, and inclusive approaches 
to managing human rights impacts. We 
believe that only by pooling the knowledge 
of sponsors, sports bodies, governments, 
and advocacy groups it is possible to high-
light and devise more effective strategies 
to address the human rights challenges 
associated with mega-sporting events, 
from planning through to legacy.
",10
"Throughout 2016, we invested time in pre-
paring and sharing updates on our human 
rights policies and practices, including 
the disclosure of our Approach to Human 
Rights Defenders. We understand that we 
are the only business globally to have pub-
lished such a policy. In addition, we shared 
our experience on the role business can play 
in protecting human rights defenders with 
members of the UN Global Compact.
",10
"An important validation of our efforts comes 
from the newly launched Corporate Human 
Rights Benchmark (CHRB), which rates the 
top 500 globally listed companies on their 
human rights policy, process, and performance. We are proud 
to have been selected for the pilot and ranked second in the 
Apparel sector, and fifth in the overall ranking out of 98 cor-
porations in total. We will be using the results of the bench-
mark to identify gaps and areas for improvement in our human 
rights work.
",10
"Also released in 2016 was the KnowTheChain evaluation of 
forced labour in the global Apparel and Footwear sector. Among 
the twenty companies selected for evaluation, we ranked first in 
the sector due to our best practices, including strong disclosure 
and supply chain risk mapping. The result was also based on 
our Modern Slavery Outreach Programme, launched earlier in 
the year, as well as our published call to non-profit groups and 
other companies to join us in tackling modern slavery issues 
in high-risk countries. 
",10
"As a global sports company, we do have the obligation to lead 
by example. We will continue to reach out to and engage with 
the relevant stakeholder groups so we can intensify our sup-
port for human rights activities. 
",10
"HOW WE  
  
LEARN 
FROM OUR 
 PARTNERS:
 THOUGHT LEADERSHIP 
 IN PROTECTING HUMAN
 RIGHTS
",10
"It is our mission to be the best sports company in the world. 
For us, this means creating long-term, sustainable value which 
goes far beyond the consideration of mere financial metrics: it 
includes the management of major intangible value drivers in 
our company such as our sustainability performance. 
",11
"In order to measure our sustainability per-
formance we know it is critical that we fully 
understand the environmental implications 
of doing business. In 2016, for the very first 
time, we conducted a fact-based pilot analysis 
to assess our organisational environmental 
footprint. The aim was to better understand 
where our main environmental impacts occur 
along our value chain, and to translate them 
into monetary terms. The results of the anal-
ysis will contribute to our Integrated Perfor-
mance Management (IPM) programme, which 
is our overall strategic approach to system-
atically and consistently consider major 
tangible and intangible value drivers in the 
 decision-making of our company. 
",11
"Major impacts identified in indirect 
 supply chain
",11
"The objective of our environmental footprint 
analysis was to provide us with a clear pic-
ture of what our main environmental impacts 
along our value chain are and how they cor-
relate to each other in terms of magnitude. 
For our pilot exercise we used an interna-
tionally recognised methodology to analyse 
 our entire value chain from process-
ing of raw materials (Tier 3), upstream 
supply chain (Tier 2), direct suppli-
ers (Tier 1) to indirect spends, logis-
tics, core operations including our own 
offices and own retail, all the way to the 
use phase and end-of-life of our prod-
ucts. The analysis was conducted in 
three steps: firstly, we collected rel-
evant primary data from own systems 
and operations, as well as secondary 
data to complete potential data gaps. 
Secondly, we calculated our environ-
mental impacts in absolute terms that 
were translated into monetary value in 
a last step.
",11
"Using the baseline of 2015, we focused 
on five main environmental impacts: 
GHG (Greenhouse Gas) emissions, water 
consumption, land use as well as air 
and water pollution. Results show that 
only 4% of our impacts relate to our core 
operations (operations related to all of 
",11
" 
WHILE MAXIMISING THE  
VALUE OF OUR BUSINESS
 our administration offices, distribution centres and own pro-
duction sites globally, as well as own retail stores globally). 
The biggest impact however happens in the upstream supply 
chain in factories beyond our Tier 1 suppliers we have a direct 
relationship with. 
",11
"  GHG emissions account for 42% of our total environmental 
impacts, with more than half of these CO emissions (54%) 
caused beyond our direct suppliers. The impacts occur dur-
ing the processing of raw materials, e.g. leather produc-
tion, which is mainly due to cattle farming, as well as high 
energy use for production of synthetic materials.
",11
"  Air pollution comes second with 31% of our total impacts. 
The main reasons can be found in the energy-intensive pro-
cess for synthetic material production and burning of fossil 
fuels for energy production. 
",11
"  Water consumption makes up 15% of our total impacts, with 
indirect suppliers being the main contributor. Raw material 
production across Tier 3 suppliers accounts for 68% of our 
overall water consumption, which is mainly related to agri-
cultural processes. Tier 2 suppliers account for further 21% 
of our water consumption, which is mainly the result of  dyeing 
and other wet processes necessary for manufacturing our 
products.
",11
"Results drive holistic company 
performance measurement
",12
"We will repeat this footprint anal-
ysis regularly and use the insights 
we gained to evaluate the effective-
ness of the programmes we already 
have in place, to select the most 
effective future strategies to reduce 
our impacts, to monitor our pro-
gress against the targets laid out 
in our sustainability strategy and 
to further fine tune our approach if 
necessary.
",12
"In addition, we will continue to work 
on enhancing the footprint meth-
odology used as well as integrat-
ing our findings into the relevant 
business processes. Therefore, the 
results are a crucial contribution to 
drive our IPM ambition. This is our 
way to embed material financial 
and non-financial, as well as tan-
gible and non-tangible value-driv-
ing aspects of our business model, 
systematically into our decision 
making. Providing increased trans-
parency about the impacts created 
throughout our value chain, the 
results will enable more informed 
and fact-based decision-making, 
and ultimately lead us to drive holis-
tic value creation for our company.
",12
" AT  ADIDAS WE  
 
ARE CHANGING 
THE WAY WE DEFINE 
AND MEASURE OUR 
 
SUCCESS. 
NON-FINANCIAL 
VALUE DRIVERS 
 
SUCH AS OUR 
SUSTAINABILITY 
PERFORMANCE 
 
ARE THEREFORE
 
CRITICAL 
 
ELEMENTS 
OF OUR DECISION- 
MAKING.  
",12
"IDENTIFY, EDUCATE, ACT: TEAMING UP TO SAVE WATER WHERE NECESSARY 
16
LEADING BY EXAMPLE: ON OUR WAY TO ACHIEVE WATER STEWARDSHIP 
18
JOINING TRUSTED PARTNERS TO HELP THOSE IN NEED 
18
2020 TARGET EVALUATION 
19
",13
"REDEFINING THE INDUSTRY, ONE PRODUCT AT A TIME 
23
CHALLENGE MEANS PROGRESS: IMPROVING OUR CHEMICAL FOOTPRINT 
25
GUIDING OUR SUPPLIERS TOWARDS MINIMISING WASTE 
25
2020 TARGET EVALUATION 
26
",13
"IT STARTS WITH US: SYSTEMATICALLY CONSERVING ENERGY AT OUR OWN SITES 
32
ON TRACK: EVOLUTION AND CREATION OF EKPI 2.0 
34
2020 TARGET EVALUATION 
35
",13
"WATER IS ESSENTIAL FOR LIFE. IT IS ALSO  
A KEY RESOURCE FOR OUR INDUSTRY. IN OR-
DER TO TACKLE THE EVER-GROWING ISSUE 
OF WATER SCARCITY AND ACHIEVE WATER  
STEWARDSHIP, WE HAVE DEVELOPED AN AP- 
PROACH ADDRESSING WATER EFFICIENCY,  
QUALITY AND ACCESSIBILITY.
",14
"JOB
DIRECTOR 
MANUFACTURING 
EXCELLENCE 
APPAREL,TAIWAN
AT  ADIDAS
",15
"To remember where we have been 
and where we need to get to! I am 
committed to do everything in 
my power to ensure our suppliers 
are doing everything within their 
power  this means encouraging 
 them to invest in the best equipment 
they can afford and adopting industry 
best practice  in order for them to 
 achieve their full potential.
",15
"Water is not only essential for life, it is 
also a key resource for our industry. With 
the ever-growing issue of water scarcity, 
we have developed an overall approach 
to address water efficiency, improve 
wastewater quality, and provide better 
accessibility to water in communities. We 
know that we can only be successful if all 
of our partners along the supply chain 
contribute to our ambition. Educating our 
suppliers, subcontractors and material 
suppliers, making them identify and 
report their water footprint, and acting 
upon these results is a top priority of our Sustainability Strategy. 
For this reason we have put several programmes and procedures 
in place to support our apparel and footwear suppliers. 
",16
"As part of the Manufacturing Excellence programme, one target 
is to achieve 50% water savings at apparel material suppliers 
by 2020. Introduced in 2013, the strategic initiative deep-dives 
into a variety of projects across  adidas supply base to further 
optimise how our products are engineered and manufactured. 
As our industry uses high volumes of water at the stage of 
raw material processing, we collaborate closely with our 
apparel supplier base by educating them about best available 
technologies and processes to strengthen their capabilities 
as well as to improve water usage in the manufacturing of our 
products. This includes training and advising both our internal 
colleagues and our suppliers on innovative methodologies and 
technology options that are needed to save water. Over the past 
36 months, we have successfully promoted several procedures 
tackling those areas considered critical in water processing and 
usage in textile production, all of them resulting in increased 
water efficiency. 
",16
"One of these procedures is Right First Time. As any per-
centage of failure during the dyeing process doubles or 
 triples the quantity of water required to dye a fixed quantity 
",16
"PRODUCT
 of material in the correct colour, Right First Time is crucial 
because it ensures that only one single dyeing process and the 
standard water consumption is necessary to get it right. Addi-
tional work streams include water recycling  the most com-
mon technology used  which aims for 100% reuse of water or 
zero discharge as well as improved materiality which again 
saves 1% total water usage for every 1% in material qual-
ity gained. We further implemented machinery upgrades to 
improve liquor ratio processes and promoted higher capac-
ity utilisation to increase the amount of material processed 
in production machines. First results of these upgrades and 
investments are already visible: since 2014 we have reduced 
the amount of water in our materials processes from 121 
litres/kg to 95 litres/kg  a reduction of 22%. 
",16
"Based on this success, we have begun to apply a similar 
approach to achieve water savings at our footwear suppliers. 
In 2016, we started a pilot project with four factories. The goal 
is to motivate them to track their water consumption data to 
make sure we fully understand their water usage. As a second 
step we can then find ways to strengthen their capability to save 
water in their manufacturing processes. 
",17
"We also continue to be transparent about our suppliers 
discharge of waste water. As of 2016, 80% of all wet processes 
across our global supply chain were publicly disclosed. Our 
efforts to improve our suppliers environmental performance 
were again officially recognised. In 2016, for the second 
consecutive year, adidas ranked first in the textile sector and 
second overall out of 198 companies across industries as 
evaluated in the Corporate Information Transparency Index 
(CITI). Created by the Institute of Public & Environmental Affairs 
(IPE) in close cooperation with the US-based environmental 
NGO, the Natural Resources Defence Council (NRDC), the index 
rates the performance of international brands in managing 
environmental impacts of manufacturing operations in China 
and identifies environmental issues within their supply chain. 
In addition to being first in textiles and second overall, adidas 
is listed in the CITI Top 30, officially testifying that we as a 
company are making earnest steps towards green procurement 
and that the environmental performance of our supply chain in 
China is considered a leading effort worldwide.
",17
"These results are not down to chance. In fact, we have been 
collaborating with the IPE since 2011. Once notified by them, we 
partnered with our suppliers to work on their environmental 
violations until they were fully addressed. We also conducted 
monthly screenings of our suppliers presence in the IPE 
database. We are aware that further improving our CITI 
rating in 2017 will be a challenge due to, for example, stricter 
environmental legislation and increasing costs for more 
frequent monitoring of our suppliers performance. However, 
we will continue our path towards a green supply chain in 
China. 
",17
"80% 
WE ARE COMMITTED  
TO DELIVERING FULL  
TRANSPARENCY OF  
OUR SUPPLIERS HAZAR- 
DOUS CHEMICAL USE,  
EMISSIONS AND WASTE  
WATER DISCHARGES:  
AS OF 2016, 80% OF  
ALL WET PROCESSES  
ACROSS OUR GLOBAL  
SUPPLY CHAIN ARE  
DISCLOSED ON THE  
IPE PLATFORM.
",17
"THE ENVIRONMENTAL PERFORMANCE OF  
OUR SUPPLY CHAIN IN CHINA IS CONSIDERED  
A LEADING EFFORT WORLDWIDE
",17
"Water is a renewable resource, but factors such 
as the ever-growing population and the impacts 
of climate change are tipping the scale to a point 
where water supply may no longer meet demand. 
Water stress, defined as the ratio of total freshwater withdrawn to 
the total renewable fresh water resources, affects two billion people 
and every continent. This hinders environmental sustainability, 
economic growth and social development. 
",18
"We are driven by our ambition to achieve water stewardship. For us, 
this means knowing and reducing our own water use and improving 
our impact on water at our own operations and our value chain 
through innovative solutions and partnerships. 
",18
"While it is important to make sure that our suppliers improve 
their water footprint, it is equally if not more important that our 
own operations lead by example. In 2016, Green Company, our 
environmental programme for our own sites globally, presented 
its 2020 targets for water designed to continue our leadership in 
water use reductions. 
 see page 20 for details
",18
"The second generation of our Green Company programme sets 
context-based water reduction targets which are based on one 
important understanding: water is a local resource, and reductions 
in water use can only be achieved if 
addressed individually in each of the 
locations. To define the most efficient 
targets for each of our sites globally we 
assess the local challenges by taking 
local watersheds into account using the 
Aqueduct Water Risk Atlas. As a result, 
we have set proportionally higher targets 
in water critical-areas. 
",18
"In 2016, our efforts were recognised by 
the Carbon Disclosure Project (CDP) 
with a good B score (A being the best), 
following our response to their water 
questionnaire. With our own Green 
Company programme we will continue to 
lead by example in order to reduce water 
use at our own sites around the world.
",18
"The availability of clean water is 
essential for humans and the planet to 
survive. We are very proud to look back 
on a long-standing history of supporting 
those in need through engaging in 
partnerships for certain projects in 
order to help communities. One of these 
partners is SOS Childrens Villages. 
Most recently, we teamed up on a water 
project in Aleppo, Syria, that resulted in 
700 families having access to water on 
a daily basis. 
",18
